label_BMU,hemi,side,BRAIN_ROI,atlas
R_p32pr_ROI,right,medial,p32pr_ROI,glassersub
R_p47r_ROI,right,lateral,p47r_ROI,glassersub
R_p9-46v_ROI,right,lateral,p9-46v_ROI,glassersub
R_PBelt_ROI,right,lateral,PBelt_ROI,glassersub
R_PCV_ROI,right,medial,PCV_ROI,glassersub
R_PeEc_ROI,right,medial,PeEc_ROI,glassersub
R_PEF_ROI,right,lateral,PEF_ROI,glassersub
R_PF_ROI,right,lateral,PF_ROI,glassersub
R_PFcm_ROI,right,lateral,PFcm_ROI,glassersub
R_PFm_ROI,right,lateral,PFm_ROI,glassersub
R_PFop_ROI,right,lateral,PFop_ROI,glassersub
R_PFt_ROI,right,lateral,PFt_ROI,glassersub
R_PGi_ROI,right,lateral,PGi_ROI,glassersub
R_PGp_ROI,right,lateral,PGp_ROI,glassersub
R_PGs_ROI,right,lateral,PGs_ROI,glassersub
R_PH_ROI,right,lateral,PH_ROI,glassersub
R_PHA1_ROI,right,medial,PHA1_ROI,glassersub
R_PHA2_ROI,right,medial,PHA2_ROI,glassersub
R_PHA3_ROI,right,medial,PHA3_ROI,glassersub
R_PHT_ROI,right,lateral,PHT_ROI,glassersub
R_PI_ROI,right,lateral,PI_ROI,glassersub
R_Pir_ROI,right,lateral,Pir_ROI,glassersub
R_Pir_ROI,right,medial,Pir_ROI,glassersub
R_PIT_ROI,right,lateral,PIT_ROI,glassersub
R_pOFC_ROI,right,medial,pOFC_ROI,glassersub
R_PoI1_ROI,right,lateral,PoI1_ROI,glassersub
R_PoI2_ROI,right,lateral,PoI2_ROI,glassersub
R_POS1_ROI,right,medial,POS1_ROI,glassersub
R_POS2_ROI,right,medial,POS2_ROI,glassersub
R_PreS_ROI,right,medial,PreS_ROI,glassersub
R_ProS_ROI,right,medial,ProS_ROI,glassersub
R_PSL_ROI,right,lateral,PSL_ROI,glassersub
R_RI_ROI,right,lateral,RI_ROI,glassersub
R_RSC_ROI,right,medial,RSC_ROI,glassersub
R_s32_ROI,right,medial,s32_ROI,glassersub
R_s6-8_ROI,right,lateral,s6-8_ROI,glassersub
R_SCEF_ROI,right,medial,SCEF_ROI,glassersub
R_SFL_ROI,right,medial,SFL_ROI,glassersub
R_STGa_ROI,right,lateral,STGa_ROI,glassersub
R_STSda_ROI,right,lateral,STSda_ROI,glassersub
R_STSdp_ROI,right,lateral,STSdp_ROI,glassersub
R_STSva_ROI,right,lateral,STSva_ROI,glassersub
R_STSvp_ROI,right,lateral,STSvp_ROI,glassersub
R_STV_ROI,right,lateral,STV_ROI,glassersub
R_TA2_ROI,right,lateral,TA2_ROI,glassersub
R_TE1a_ROI,right,lateral,TE1a_ROI,glassersub
R_TE1m_ROI,right,lateral,TE1m_ROI,glassersub
R_TE1p_ROI,right,lateral,TE1p_ROI,glassersub
R_TE2a_ROI,right,lateral,TE2a_ROI,glassersub
R_TE2p_ROI,right,lateral,TE2p_ROI,glassersub
R_TF_ROI,right,medial,TF_ROI,glassersub
R_TGd_ROI,right,lateral,TGd_ROI,glassersub
R_TGd_ROI,right,medial,TGd_ROI,glassersub
R_TGv_ROI,right,lateral,TGv_ROI,glassersub
R_TGv_ROI,right,medial,TGv_ROI,glassersub
R_TPOJ1_ROI,right,lateral,TPOJ1_ROI,glassersub
R_TPOJ2_ROI,right,lateral,TPOJ2_ROI,glassersub
R_TPOJ3_ROI,right,lateral,TPOJ3_ROI,glassersub
R_V1_ROI,right,medial,V1_ROI,glassersub
R_V2_ROI,right,lateral,V2_ROI,glassersub
R_V2_ROI,right,medial,V2_ROI,glassersub
R_v23ab_ROI,right,medial,v23ab_ROI,glassersub
R_V3_ROI,right,lateral,V3_ROI,glassersub
R_V3_ROI,right,medial,V3_ROI,glassersub
R_V3A_ROI,right,lateral,V3A_ROI,glassersub
R_V3A_ROI,right,medial,V3A_ROI,glassersub
R_V3B_ROI,right,lateral,V3B_ROI,glassersub
R_V3CD_ROI,right,lateral,V3CD_ROI,glassersub
R_V4_ROI,right,lateral,V4_ROI,glassersub
R_V4_ROI,right,medial,V4_ROI,glassersub
R_V4t_ROI,right,lateral,V4t_ROI,glassersub
R_V6_ROI,right,medial,V6_ROI,glassersub
R_V6A_ROI,right,medial,V6A_ROI,glassersub
R_V7_ROI,right,lateral,V7_ROI,glassersub
R_V8_ROI,right,lateral,V8_ROI,glassersub
R_V8_ROI,right,medial,V8_ROI,glassersub
R_VIP_ROI,right,lateral,VIP_ROI,glassersub
R_VMV1_ROI,right,medial,VMV1_ROI,glassersub
R_VMV2_ROI,right,medial,VMV2_ROI,glassersub
R_VMV3_ROI,right,medial,VMV3_ROI,glassersub
R_VVC_ROI,right,medial,VVC_ROI,glassersub
R_???_ROI,right,medial,???_ROI,glassersub
Thalamus,right,medial,Thalamus-Proper,glassersub
Caudate,right,medial,Caudate,glassersub
Putamen,right,medial,Putamen,glassersub
Pallidum,right,medial,Pallidum,glassersub
Amygdala,right,medial,Amygdala,glassersub
Accumbens,right,medial,Accumbens,glassersub
VentralDC,right,medial,VentralDC,glassersub
Hippocampus,right,medial,Hippocampus,glassersub
